"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1867747431913599122","Sat Dec 14 01:44:23 +0000 2024","2","Workshop kurmer ini belum tuntas belum juga pada nyantol Uda denger isu2 mo ganti kurikulum lagi Sambutannya semoga kurikulum merdeka bisa mendarah daging. Gimana mau mendarah daging baru disuntik udah ganti obat aja ","1867747431913599122","","","in","Gresik, Indonesia","0","0","0","https://x.com/nrlllizzzz_/status/1867747431913599122","1254759117442310144","nrlllizzzz_"
"1864839124257247618","Fri Dec 06 01:07:48 +0000 2024","0","50 Soal UAS Sejarah Indonesia Kelas 10 Semester 1 dan Kunci Jawaban Terbaru 2024 Kurikulum Merdeka https://t.co/vPj4rwECFl lewat @tribunnews #ujian #uas #sejarah #kelas10 #kuncijawaban #kurikulummerdeka","1864839124257247618","","","in","Balikpapan, Indonesia","0","0","0","https://x.com/tribunkaltim/status/1864839124257247618","103551225","tribunkaltim"
"1870443854773780548","Sat Dec 21 12:34:01 +0000 2024","0","@kw0ngf Klo kurikulum merdeka gitu baru PKL pas kls 12 awal jadi satu semester itu full PKL makanya gak ada dikasih materi dari sekolah klo aku tuh mau les juga susah bagi waktu","1870447631706824844","","kw0ngf","in","","0","1","0","https://x.com/scoupslele/status/1870447631706824844","1840046528880357382","scoupslele"
"1864577669691789347","Thu Dec 05 07:48:53 +0000 2024","0","Inilah soal SAS Matematika kelas 5 semester 1 Kurikulum Merdeka https://t.co/yZW34rLKUD","1864577669691789347","","","in","Balikpapan, Indonesia","0","0","0","https://x.com/tribunkaltim/status/1864577669691789347","103551225","tribunkaltim"
"1869844522412453898","Thu Dec 19 20:37:28 +0000 2024","1","Padahal gen z itu generasi yang paling apes. 2008 disambut krismon. Kurikulum KTSP mendadak diganti K-13 lalu diganti lagi jadi Kurikulum Merdeka. Belom lagi awal 2020 disambut pandemi global imbasnya perusahaan pada bangkrut. Tapi disalahin mulu.","1869844522412453898","","","in","Honolulu, HI","0","1","0","https://x.com/inimaulaa/status/1869844522412453898","1297549974083784705","inimaulaa"
"1870301947359887382","Sat Dec 21 02:55:07 +0000 2024","0","Menbud Fadli Zon Usulkan Pelajaran Sejarah Jadi Wajib Masuk Kurikulum Merdeka https://t.co/DhyV9730V2 lewat @Koran Bogor","1870301947359887382","","","in","Jawa Barat -Indonesia.","0","0","0","https://x.com/martinusnussah/status/1870301947359887382","97858954","martinusnussah"
"1868462065645658148","Mon Dec 16 01:04:05 +0000 2024","0","13 Contoh Deskripsi Rapor Kurikulum Merdeka Semester 1 SD-SMA Catatan Wali Kelas untuk Orang Tua https://t.co/4EsQbtGrHh lewat @tribunnews #deskripsi #rapor #kurikulummerdeka #sekolah #pendidikan","1868462065645658148","","","in","Balikpapan, Indonesia","0","0","0","https://x.com/tribunkaltim/status/1868462065645658148","103551225","tribunkaltim"
"1864968672789565935","Fri Dec 06 09:42:35 +0000 2024","0","Mempelajari Tentang Akikah dan Kurban! Kunci Jawaban PAI Kelas 9 Halaman 105 Kurikulum Merdeka https://t.co/H29HVxAvST","1864968672789565935","","","in","Ambon","0","0","0","https://x.com/tribunambonnews/status/1864968672789565935","1449955921312960513","tribunambonnews"
"1872690667115430028","Fri Dec 27 17:07:02 +0000 2024","0","Kriteria Ketercapaian Tujuan Pembelajaran (KKTP) Bahasa Inggris Kelas 1 SD/MI Fase A Kurikulum Merdeka #kktpkelas1 #kktpbahasainggris #kktpkurikulummerdeka #kriteriaketercapaiantujuanpembelajaran https://t.co/fv61rwWrqG","1872690667115430028","","","in","","0","0","0","https://x.com/abdierablog/status/1872690667115430028","1760637346700218368","abdierablog"
"1742095455910322527","Wed Jan 03 05:19:51 +0000 2024","385","@debordsbitch testimoni gua sbg anak sma kurikulum merdeka percobaan: RIBET ngeluarin duit BANYAK guru jd males ngajar dgn kedok kurikulum merdeka (fakta) tugas banyak tp materi gak nyangkut di otak kejar-kejaran antara akademik sm projek antarsekolah tuh beda-beda ","1742415452490661974","","debordsbitch","in","","19","8","35","https://x.com/swoftiej/status/1742415452490661974","1398162272703246337","swoftiej"
